Salary,Number of Rosters,Percent of Rosters
49900,69187,4.7711
50000,69002,4.7584
49800,64092,4.4198
49700,63798,4.3995
49600,59472,4.1012
49500,59410,4.0969
49400,55266,3.8111
49300,54758,3.7761
49200,51068,3.5216
49100,50803,3.5034
49000,47175,3.2532
48900,46516,3.2077
48800,43171,2.9771
48700,42135,2.9056
48600,39469,2.7218
48500,38442,2.6509
48400,35891,2.475
48300,34747,2.3961
48200,32959,2.2728
48100,31935,2.2022
48000,29987,2.0679
47900,28952,1.9965
47800,27052,1.8655
47700,25710,1.773
47600,24185,1.6678
47500,22874,1.5774
47400,21405,1.4761
47300,20251,1.3965
47200,19129,1.3191
47100,17915,1.2354
47000,16932,1.1676
46900,15827,1.0914
46800,14831,1.0227
46700,13816,0.9527
46600,12940,0.8923
46500,11999,0.8274
46400,11240,0.7751
46300,10379,0.7157
46200,9728,0.6708
46100,8953,0.6174
46000,8384,0.5782
45900,7697,0.5308
45800,7192,0.496
45700,6571,0.4531
45600,6142,0.4236
45500,5580,0.3848
45400,5202,0.3587
45300,4715,0.3251
45200,4387,0.3025
45100,3960,0.2731
45000,3680,0.2538
44900,3316,0.2287
44800,3073,0.2119
44700,2756,0.1901
44600,2554,0.1761
44500,2273,0.1567
44400,2104,0.1451
44300,1861,0.1283
44200,1726,0.119
44100,1514,0.1044
44000,1405,0.0969
43900,1222,0.0843
43800,1141,0.0787
43700,982,0.0677
43600,913,0.063
43500,780,0.0538
43400,725,0.05
43300,610,0.0421
43200,570,0.0393
43100,470,0.0324
43000,444,0.0306
42900,361,0.0249
42800,343,0.0237
42700,277,0.0191
42600,263,0.0181
42500,211,0.0146
42400,203,0.014
42300,157,0.0108
42200,155,0.0107
42100,119,0.0082
42000,115,0.0079
41900,91,0.0063
41800,86,0.0059
41700,68,0.0047
41600,63,0.0043
41500,51,0.0035
41400,45,0.0031
41300,36,0.0025
41200,31,0.0021
41100,24,0.0017
41000,20,0.0014
40900,15,0.001
40800,12,0.0008
40700,9,0.0006
40600,6,0.0004
40500,5,0.0003
40300,3,0.0002
40100,1,0.0001
40400,2,0.0001
